Timestamp,1. Which age group do you fall into?,2. How long have you lived in this estate?,3. Which floor range is your unit located on?,"4. On a normal day, how would you rate the noise level from 1 to 10?",5. What are the main noise sources you notice most often?,6. Does the noise ever spike during specific hours / events?,"7. How does the noise level affect your ability to concentrate (studying, working)?",What are some existing solutions in your living area to address the noise issue? Are they effective?,What are some solutions you can think of to noise pollution in your specific living area? (We need your point of view ! :),8. How do you find the quality of air in your living area?,What are the reasons for your answer to Qn 8?,"9. Convenience: When there are big festivals or religious practices, events etc, how does it affect your routine?",10. Does living so close to these cultural/religious hubs make you feel more connected to the community?,"11. Overall, would you say living here improves or reduces your Quality of Life?",12. Which site do you live in?
20/02/2026 18:51:24,60+,More than 10 years,Mid Rise (Floors 6–10),5,"Road Traffic / MRT, Commercial Events (Busking, Festivals, Crowds), Construction / Renovation",Yes,Not at all,Government regulations concerning noise. Not really except for night times. ,Regulate vehicle honking during certain times (early morning and late night) especially during festive/religious days as this area is prone to severe traffic congestion during prayers days (temple nearby). ,4,Too much traffic. Heavy cooking exhaust from hawker centre below the block,"Difficult to drive in/out of the block, or even get to the car parks. Very crowded at the market/hawker centre/MRT station","Yes, I feel a strong connection.",Improves significantly,Waterloo Centre
20/02/2026 18:53:13,26 – 40,More than 10 years,Low Rise (Floors 1–5),4,Road Traffic / MRT,Road jam ,Moderately distracting,Need more carpark space,Is fine. Meant to be crowded in this area ,5,Too many cars ,Just need to compromise. No nearest supermarket ,"Yes, I feel a strong connection.",Improves significantly,Waterloo Centre
22/02/2026 14:35:27,26 – 40,More than 10 years,Low Rise (Floors 1–5),6,"Religious Activities (Bells, Chanting, Processions), Commercial Events (Busking, Festivals, Crowds)",Yes over temple proceedings ,Slightly distracting,,Limit to certain hours only ,8,Dusty and polluted due to traffic and burning of incense,Average ,Neutral / Just background noise.,Neutral,Waterloo Centre
24/02/2026 09:12:33,60+,More than 10 years,Low Rise (Floors 1–5),8,"Religious Activities (Bells, Chanting, Processions)","Yes, lunar calendar 1st/15th",Moderately distracting,Close windows,Better crowd control during festivals,4,Smoke from incense,Hard to walk,Yes,Neutral,Waterloo Centre
24/02/2026 10:45:12,41 – 59,5 - 10 years,High Rise (Floors 11+),7,"Religious Activities (Bells, Chanting, Processions)","The bells start very early in the morning and it's quite repetitive. As a resident who has lived here for a decade, I appreciate the culture, but the acoustic environment has definitely degraded as more tourists and larger sound systems are used during the ceremonies. It makes it very hard to have a quiet Sunday morning which is the only time I have to rest from my stressful job",Severely affects rest quality,Noise-cancelling headphones and thick curtains,Enforce decibel limits on outdoor speakers used by the temples,5,Smell of burning paper,Too many people,"Yes, very strong",Reduces slightly,Waterloo Centre
25/02/2026 14:20:00,18 – 25,Less than 1 year,Low Rise (Floors 1–5),9,"Commercial Events (Busking, Festivals, Crowds)",Every single weekend night,Highly distracting,I stay out until late to avoid the noise,Ban high-powered speakers for buskers,7,Fine,Very crowded,No,Reduces significantly,Cheng Yan Court
25/02/2026 15:10:44,26 – 40,1 - 5 years,Mid Rise (Floors 6–10),8,Road Traffic / MRT,Peak hours are deafening,Moderately distracting,Earplugs,Sound barriers,6,Dusty,Accessible,No,Reduces slightly,Cheng Yan Court
25/02/2026 16:05:00,41 – 59,More than 10 years,Low Rise (Floors 1–5),9,"Commercial Events (Busking, Festivals, Crowds)","It is absolutely ridiculous how loud the buskers are at Bugis Street. I have called the NEA multiple times because the bass vibrates my windows. This isn't just 'vibrancy,' it's a nuisance. We are residents, not just a backdrop for tourists. My children cannot study and my elderly mother gets very agitated by the constant thumping music that goes on until 10 PM. The trade-off for living in the city shouldn't mean losing our sanity to noise",Highly distracting,Complaining to authorities,Strict permit enforcement for performers,5,Congested,Good amenities,No,Reduces significantly,Cheng Yan Court
25/02/2026 17:30:11,60+,More than 10 years,Mid Rise (Floors 6–10),8,"Commercial Events (Busking, Festivals, Crowds)",Weekend crowds,Severely affects rest quality,AC on all day,Zoning,5,Ok,Hard to move,Neutral,Reduces slightly,Cheng Yan Court
25/02/2026 18:45:33,26 – 40,1 - 5 years,Low Rise (Floors 1–5),7,Road Traffic / MRT,Every day,Slightly distracting,Closed windows,More trees,6,Normal,Good,Maybe,Neutral,Cheng Yan Court
26/02/2026 08:00:15,60+,More than 10 years,Low Rise (Floors 1–5),7,"Commercial Events (Busking, Festivals, Crowds)",Early morning market noise,Severely affects rest quality,None,Move loading docks,3,Oily smell,Convenient,Yes,Neutral,Albert Centre
26/02/2026 09:30:00,41 – 59,5 - 10 years,Mid Rise (Floors 6–10),6,Construction / Renovation,Intermittent,Slightly distracting,Go out,Better timing,6,Dust,Good,Yes,Improves significantly,Albert Centre
26/02/2026 11:20:44,26 – 40,1 - 5 years,High Rise (Floors 11+),5,Road Traffic / MRT,Rush hour,Neutral,None,Trees,7,Breezy,Okay,No,Improves significantly,Albert Centre
26/02/2026 13:05:12,60+,More than 10 years,Low Rise (Floors 1–5),8,"Commercial Events (Busking, Festivals, Crowds)",Morning delivery trucks,Moderately distracting,Closed doors,Regulation,4,Cooking fumes,Crowded,Yes,Neutral,Albert Centre
26/02/2026 15:45:00,41 – 59,1 - 5 years,Mid Rise (Floors 6–10),7,Road Traffic / MRT,Constant traffic,Moderately distracting,AC,Noise cameras,6,Exhaust,Convenient,Neutral,Neutral,Albert Centre
27/02/2026 10:00:00,18 – 25,1 - 5 years,Mid Rise (Floors 6–10),8,Road Traffic / MRT,Constant traffic hum,Highly distracting,Headphones,Double glazing,5,Dusty,Perfect location,No,Reduces slightly,Bras Basah Complex
27/02/2026 12:15:22,26 – 40,5 - 10 years,High Rise (Floors 11+),6,Road Traffic / MRT,Peak periods,Slightly distracting,Close windows,Road design,6,Normal,Busy,Neutral,Improves significantly,Bras Basah Complex
27/02/2026 14:40:11,41 – 59,More than 10 years,Low Rise (Floors 1–5),9,Road Traffic / MRT,24/7 road noise,Severely affects rest quality,None,Barriers,5,Exhaust fumes,Very accessible,Neutral,Reduces significantly,Bras Basah Complex
27/02/2026 16:20:00,60+,More than 10 years,Mid Rise (Floors 6–10),7,Commercial Events,Atrium events,Moderately distracting,None,Limit sound levels,6,Fine,Good food access,Yes,Neutral,Bras Basah Complex
27/02/2026 17:55:44,26 – 40,1 - 5 years,Low Rise (Floors 1–5),8,Road Traffic / MRT,Buses and sirens,Highly distracting,Curtains,Speed limits,5,Poor air quality,Busy,No,Reduces slightly,Bras Basah Complex